customer_id,full_name,email,last_order_date,marketing_opt_in,created_at
34,Drew Lewis,drew.lewis34@mail.com,2022-02-16,False,2024-11-13
35,Dana Anderson,dana.anderson35@payguard.com,2023-07-14,True,2023-11-26
36,Avery Miller,avery.miller36@example.com,2021-02-13,True,2022-11-24
37,Sasha Miller,sasha.miller37@example.com,2024-12-20,True,2021-05-26
38,Avery Garcia,avery.garcia38@example.com,2021-05-26,True,2022-11-08
39,Morgan Harris,morgan.harris39@example.com,2021-09-28,False,2024-01-10
40,Avery Harris,avery.harris40@payguard.com,2021-07-13,True,2022-01-25
41,Sky Anderson,sky.anderson41@payguard.com,2023-08-15,True,2023-04-22
42,Taylor Smith,taylor.smith42@payguard.com,2022-11-26,True,2025-01-31
43,Avery Rodriguez,avery.rodriguez43@example.com,2023-07-08,True,2024-01-04
44,Sky Davis,sky.davis44@payguard.com,2022-05-27,True,2023-08-06
45,Robin Lewis,robin.lewis45@example.com,2024-08-28,True,2021-04-14
46,Jamie Miller,jamie.miller46@example.com,2023-09-22,False,2023-04-13
47,Drew Thomas,drew.thomas47@example.com,2023-02-16,True,2021-12-04
48,Dana Hernandez,dana.hernandez48@payguard.com,2023-05-17,False,2022-08-08
49,Jordan Rodriguez,jordan.rodriguez49@payguard.com,2021-04-30,True,2022-03-22
50,Chris Smith,chris.smith50@example.com,2023-09-04,True,2024-04-11
51,Sam Clark,sam.clark51@example.com,2021-05-21,True,2022-01-16
52,Avery Thomas,avery.thomas52@example.com,2022-05-20,True,2024-03-12
53,Shawn Garcia,shawn.garcia53@payguard.com,2024-04-10,False,2024-09-08
54,Morgan Rodriguez,morgan.rodriguez54@mail.com,2022-10-06,True,2025-01-06
55,Morgan Thomas,morgan.thomas55@example.com,2024-08-14,False,2024-10-07
56,Robin Wilson,robin.wilson56@example.com,2023-07-28,True,2021-01-20
57,Jamie Lewis,jamie.lewis57@example.com,2022-06-28,True,2023-11-03
58,Cameron Garcia,cameron.garcia58@example.com,2022-08-07,True,2023-01-27
59,Robin Lewis,robin.lewis59@mail.com,2024-06-06,True,2022-09-12
60,Reese Gonzalez,reese.gonzalez60@mail.com,2021-10-03,False,2021-08-01
61,Taylor Brown,taylor.brown61@mail.com,2021-11-15,False,2024-02-08
62,Riley Walker,riley.walker62@example.com,2022-12-04,True,2025-01-09
63,Morgan Clark,morgan.clark63@payguard.com,2021-04-15,True,2022-05-30
64,Sky Hernandez,sky.hernandez64@example.com,2022-11-15,True,2021-01-08
65,Morgan Davis,morgan.davis65@mail.com,2024-02-04,False,2023-06-24
66,Reese Lopez,reese.lopez66@example.com,2024-11-16,True,2021-06-04
67,Reese Smith,reese.smith67@payguard.com,2024-02-06,True,2024-04-07
68,Sky Martinez,sky.martinez68@example.com,2023-01-17,True,2022-09-24
69,Cameron Rodriguez,cameron.rodriguez69@mail.com,2024-09-27,True,2022-05-27
70,Cameron Lewis,cameron.lewis70@payguard.com,2025-03-15,True,2024-06-25
71,Avery Davis,avery.davis71@example.com,2021-02-20,True,2023-04-25
72,Chris Jackson,chris.jackson72@mail.com,2022-05-24,False,2025-02-14
73,Casey Brown,casey.brown73@payguard.com,2023-08-22,True,2021-03-21
74,Drew White,drew.white74@payguard.com,2022-04-12,True,2022-09-18
75,Alex Rodriguez,alex.rodriguez75@payguard.com,2022-07-25,True,2022-11-04
76,Morgan Anderson,morgan.anderson76@mail.com,2023-03-30,False,2023-11-10
77,Alex Brown,alex.brown77@payguard.com,2024-04-04,False,2022-01-01
78,Sam Brown,sam.brown78@mail.com,2022-12-09,False,2023-06-09
79,Sky Walker,sky.walker79@mail.com,2023-02-28,True,2021-08-25
80,Morgan Smith,morgan.smith80@mail.com,2021-01-04,True,2023-06-13
81,Cameron Jackson,cameron.jackson81@example.com,2022-11-08,False,2024-09-22
82,Taylor Gonzalez,taylor.gonzalez82@mail.com,2024-09-27,False,2022-09-26
83,Chris Thomas,chris.thomas83@mail.com,2024-02-10,True,2022-08-29
84,Drew Jackson,drew.jackson84@mail.com,2024-10-19,True,2023-02-16
85,Shawn Lee,shawn.lee85@payguard.com,2024-01-28,True,2023-04-12
86,Riley Gonzalez,riley.gonzalez86@example.com,2024-04-02,False,2023-05-31
87,Robin White,robin.white87@payguard.com,2022-03-14,False,2024-10-15
88,Casey Garcia,casey.garcia88@payguard.com,2024-09-21,False,2023-11-22
89,Jamie Miller,jamie.miller89@mail.com,2022-04-06,True,2022-09-28
90,Jordan Lopez,jordan.lopez90@example.com,2023-09-01,True,2022-05-17
91,Robin Jackson,robin.jackson91@mail.com,2022-02-03,False,2024-03-24
92,Quinn Thomas,quinn.thomas92@example.com,2024-09-05,True,2021-10-30
93,Taylor Jackson,taylor.jackson93@example.com,2024-11-26,False,2021-12-27
94,Sam Lewis,sam.lewis94@example.com,2023-07-24,True,2021-09-06
95,Robin Clark,robin.clark95@mail.com,2022-10-12,False,2024-05-04
96,Shawn Clark,shawn.clark96@payguard.com,2023-07-03,True,2024-01-28
97,Quinn White,quinn.white97@payguard.com,2022-05-22,False,2025-03-20
98,Kai Harris,kai.harris98@mail.com,2022-07-17,False,2022-05-05
99,Jamie Gonzalez,jamie.gonzalez99@example.com,2022-11-19,False,2022-07-11
100,Reese Garcia,reese.garcia100@example.com,2022-04-19,False,2021-11-05
101,Jordan Rodriguez,jordan.rodriguez101@example.com,2023-04-15,False,2023-04-30
102,Reese White,reese.white102@payguard.com,2022-02-28,False,2021-05-08
103,Dana Lee,dana.lee103@mail.com,2025-04-17,False,2021-02-10
104,Quinn Lopez,quinn.lopez104@payguard.com,2025-03-24,False,2022-09-04
105,Sky Lewis,sky.lewis105@mail.com,2024-01-24,True,2025-02-13
106,Quinn Miller,quinn.miller106@payguard.com,2023-09-22,True,2023-06-12
107,Dana Wilson,dana.wilson107@mail.com,2023-04-09,True,2024-10-22
108,Robin Martinez,robin.martinez108@mail.com,2021-02-25,False,2023-12-30
109,Sasha Lee,sasha.lee109@mail.com,2021-06-21,False,2021-02-25
110,Jordan White,jordan.white110@example.com,2022-06-17,False,2021-04-13
111,Chris Rodriguez,chris.rodriguez111@payguard.com,2022-11-23,False,2022-11-01
112,Morgan Jackson,morgan.jackson112@payguard.com,2023-08-22,True,2021-06-17
113,Reese Smith,reese.smith113@payguard.com,2024-08-24,True,2022-04-05
114,Sam Lopez,sam.lopez114@example.com,2021-02-11,True,2022-02-13
115,Avery Martinez,avery.martinez115@payguard.com,2021-08-23,True,2024-10-03
116,Robin Hernandez,robin.hernandez116@payguard.com,2024-05-25,True,2021-12-10
117,Casey Gonzalez,casey.gonzalez117@example.com,2021-02-22,False,2024-03-31
118,Sasha Thomas,sasha.thomas118@payguard.com,2022-02-11,True,2025-01-04
119,Sasha Miller,sasha.miller119@example.com,2025-05-02,False,2024-11-28
120,Shawn Brown,shawn.brown120@mail.com,2022-12-13,False,2021-03-26
121,Cameron Garcia,cameron.garcia121@mail.com,2022-11-30,True,2024-08-19
122,Sky Harris,sky.harris122@example.com,2023-01-12,False,2023-06-07
123,Jordan Jackson,jordan.jackson123@example.com,2023-12-05,False,2025-02-11
124,Shawn Lewis,shawn.lewis124@payguard.com,2023-06-12,False,2023-08-11
125,Chris Miller,chris.miller125@example.com,2023-07-13,True,2022-07-26
126,Robin Lee,robin.lee126@mail.com,2023-02-16,False,2024-09-30
127,Alex Harris,alex.harris127@payguard.com,2023-09-26,True,2022-01-08
128,Cameron Hernandez,cameron.hernandez128@payguard.com,2024-05-05,False,2022-07-27
129,Reese Lopez,reese.lopez129@mail.com,2021-06-25,True,2022-01-27
130,Sky Harris,sky.harris130@mail.com,2022-05-08,False,2025-04-02
131,Quinn White,quinn.white131@example.com,2022-08-26,True,2021-07-10
132,Dana Miller,dana.miller132@payguard.com,2024-04-06,False,2024-09-21
133,Quinn Lewis,quinn.lewis133@mail.com,2023-05-22,False,2022-12-06
134,Cameron White,cameron.white134@payguard.com,2022-05-30,True,2022-09-20
135,Taylor Rodriguez,taylor.rodriguez135@payguard.com,2025-03-02,True,2021-09-02
136,Drew Rodriguez,drew.rodriguez136@mail.com,2022-07-21,False,2023-09-19
137,Taylor Rodriguez,taylor.rodriguez137@payguard.com,2023-01-10,True,2022-04-11
138,Riley Lopez,riley.lopez138@mail.com,2021-09-17,False,2023-12-30
139,Sam Smith,sam.smith139@mail.com,2024-11-29,True,2022-08-22
140,Quinn Brown,quinn.brown140@example.com,2022-08-06,False,2024-03-21
141,Quinn White,quinn.white141@payguard.com,2021-04-16,False,2022-01-13
142,Quinn Brown,quinn.brown142@example.com,2023-10-05,True,2023-04-01
143,Sasha Smith,sasha.smith143@example.com,2024-02-27,False,2021-11-02
144,Jamie Miller,jamie.miller144@example.com,2025-04-15,False,2024-02-17
145,Shawn Walker,shawn.walker145@mail.com,2025-05-08,False,2022-04-08
146,Robin White,robin.white146@payguard.com,2023-05-29,False,2024-04-20
147,Sasha Walker,sasha.walker147@example.com,2025-02-24,True,2024-06-02
148,Drew Rodriguez,drew.rodriguez148@payguard.com,2021-06-16,True,2024-09-14
149,Avery Davis,avery.davis149@mail.com,2021-11-17,True,2021-06-03
150,Sky White,sky.white150@mail.com,2023-08-21,False,2024-05-01
151,Sam Miller,sam.miller151@payguard.com,2022-08-03,False,2024-12-18
152,Jamie Miller,jamie.miller152@payguard.com,2024-04-22,True,2024-07-04
153,Sky Brown,sky.brown153@mail.com,2024-08-19,True,2022-04-06
154,Morgan Martinez,morgan.martinez154@example.com,2021-12-06,False,2021-05-03
155,Shawn Lee,shawn.lee155@payguard.com,2021-09-12,False,2023-06-19
156,Riley Thomas,riley.thomas156@payguard.com,2024-01-11,False,2023-10-22
157,Robin Garcia,robin.garcia157@mail.com,2023-06-04,False,2021-03-23
158,Shawn Hernandez,shawn.hernandez158@example.com,2022-04-14,True,2021-07-07
159,Morgan Lee,morgan.lee159@example.com,2025-03-29,True,2025-04-12
160,Quinn Clark,quinn.clark160@mail.com,2022-07-24,True,2023-06-25
161,Sasha Jackson,sasha.jackson161@mail.com,2021-07-06,False,2023-10-05
162,Cameron Jackson,cameron.jackson162@payguard.com,2024-10-04,True,2022-10-20
163,Casey Wilson,casey.wilson163@payguard.com,2023-10-12,False,2024-11-21
164,Dana Lewis,dana.lewis164@example.com,2021-06-30,False,2023-07-21
165,Morgan Wilson,morgan.wilson165@example.com,2023-04-08,True,2025-05-02
166,Reese White,reese.white166@payguard.com,2022-01-20,False,2021-04-22
167,Shawn Harris,shawn.harris167@mail.com,2025-04-06,True,2023-06-25
168,Drew Hernandez,drew.hernandez168@mail.com,2022-08-13,False,2021-09-26
169,Quinn Brown,quinn.brown169@example.com,2024-05-31,True,2024-07-14
170,Casey Gonzalez,casey.gonzalez170@mail.com,2024-02-06,False,2021-01-29
171,Jamie Miller,jamie.miller171@example.com,2021-08-29,True,2023-08-04
172,Quinn Gonzalez,quinn.gonzalez172@mail.com,2022-07-14,False,2024-12-15
173,Quinn Harris,quinn.harris173@example.com,2024-02-03,True,2023-07-25
174,Dana Rodriguez,dana.rodriguez174@mail.com,2025-03-09,True,2023-11-07
175,Jamie Hernandez,jamie.hernandez175@payguard.com,2023-11-06,False,2022-11-28
176,Alex Gonzalez,alex.gonzalez176@mail.com,2024-04-17,False,2022-09-04
177,Jordan White,jordan.white177@mail.com,2022-12-08,False,2023-09-19
178,Reese Lewis,reese.lewis178@payguard.com,2022-10-22,True,2023-07-22
179,Avery Lee,avery.lee179@payguard.com,2025-05-08,False,2022-04-24
180,Sam Wilson,sam.wilson180@mail.com,2024-12-15,False,2023-08-27
181,Dana Martinez,dana.martinez181@payguard.com,2021-09-16,False,2021-03-17
182,Taylor White,taylor.white182@example.com,2023-07-25,True,2023-12-14
183,Jordan Jackson,jordan.jackson183@mail.com,2021-06-03,False,2021-11-13
184,Morgan Wilson,morgan.wilson184@mail.com,2023-03-26,True,2024-11-19
185,Chris Lewis,chris.lewis185@payguard.com,2024-07-07,False,2022-10-11
186,Reese Smith,reese.smith186@mail.com,2022-04-26,False,2021-05-21
187,Avery Garcia,avery.garcia187@payguard.com,2025-04-07,True,2021-07-21
188,Robin Davis,robin.davis188@mail.com,2021-03-01,True,2022-09-06
189,Chris Smith,chris.smith189@payguard.com,2023-02-07,False,2023-01-05
190,Jordan Miller,jordan.miller190@mail.com,2024-03-05,True,2023-04-24
191,Casey Davis,casey.davis191@example.com,2023-02-23,True,2024-06-02
192,Quinn Lee,quinn.lee192@example.com,2023-08-03,False,2022-04-21
193,Robin Hernandez,robin.hernandez193@mail.com,2023-08-11,False,2021-01-20
194,Reese Davis,reese.davis194@example.com,2022-12-09,False,2023-06-24
195,Sky Hernandez,sky.hernandez195@payguard.com,2022-02-12,False,2022-09-11
196,Quinn Brown,quinn.brown196@example.com,2024-03-17,False,2023-02-21
197,Sasha Gonzalez,sasha.gonzalez197@mail.com,2021-02-14,False,2022-08-28
198,Morgan Lopez,morgan.lopez198@mail.com,2025-05-13,True,2024-11-05
199,Shawn Harris,shawn.harris199@payguard.com,2022-04-17,False,2025-05-08
200,Avery Rodriguez,avery.rodriguez200@mail.com,2024-10-20,True,2022-05-29
201,Taylor Smith,taylor.smith201@payguard.com,2021-03-10,False,2023-06-22
202,Jordan Garcia,jordan.garcia202@payguard.com,2025-03-11,False,2022-11-01
203,Casey Rodriguez,casey.rodriguez203@example.com,2023-01-20,False,2024-01-10
204,Casey Hernandez,casey.hernandez204@payguard.com,2025-03-09,False,2022-08-28
205,Taylor White,taylor.white205@example.com,2025-03-25,True,2021-10-16
206,Dana Lewis,dana.lewis206@payguard.com,2023-03-20,True,2021-07-04
207,Morgan Lewis,morgan.lewis207@example.com,2023-01-25,False,2023-07-21
208,Sasha Thomas,sasha.thomas208@mail.com,2021-08-10,True,2023-01-31
209,Quinn Lopez,quinn.lopez209@mail.com,2022-11-03,True,2024-02-24
210,Jamie White,jamie.white210@mail.com,2024-08-22,False,2022-09-11
211,Taylor Martinez,taylor.martinez211@example.com,2022-09-16,False,2021-03-18
212,Taylor Brown,taylor.brown212@example.com,2021-10-05,False,2024-01-06
213,Robin Anderson,robin.anderson213@mail.com,2024-11-27,False,2025-03-02
214,Sasha Martinez,sasha.martinez214@payguard.com,2021-07-22,False,2024-09-03
215,Shawn Jackson,shawn.jackson215@payguard.com,2024-11-14,False,2021-03-09
216,Drew White,drew.white216@payguard.com,2023-01-13,True,2022-04-29
217,Cameron Lewis,cameron.lewis217@mail.com,2021-05-05,False,2023-01-05
218,Morgan Rodriguez,morgan.rodriguez218@example.com,2021-07-07,True,2023-07-21
219,Shawn Lopez,shawn.lopez219@example.com,2022-05-14,True,2022-11-15
220,Sasha Rodriguez,sasha.rodriguez220@example.com,2024-02-10,True,2025-04-17
221,Sasha Rodriguez,sasha.rodriguez221@example.com,2025-05-05,True,2022-11-04
222,Shawn Lopez,shawn.lopez222@payguard.com,2021-09-24,False,2021-10-24
223,Casey Brown,casey.brown223@mail.com,2021-09-27,True,2021-02-22
224,Cameron Miller,cameron.miller224@mail.com,2021-02-02,True,2022-10-26
225,Morgan Smith,morgan.smith225@example.com,2023-05-13,True,2025-02-28
226,Jamie Harris,jamie.harris226@payguard.com,2023-01-12,True,2025-05-13
227,Robin Clark,robin.clark227@example.com,2021-03-30,False,2024-06-13
228,Robin Lopez,robin.lopez228@example.com,2023-04-03,False,2023-09-08
229,Taylor Harris,taylor.harris229@mail.com,2021-05-31,True,2023-06-28
230,Chris Walker,chris.walker230@example.com,2021-09-16,False,2021-05-15
231,Shawn Lee,shawn.lee231@mail.com,2022-10-28,False,2024-12-29
232,Shawn Clark,shawn.clark232@payguard.com,2023-11-02,False,2023-07-19
233,Taylor Brown,taylor.brown233@mail.com,2025-04-24,True,2024-08-26
234,Sky White,sky.white234@example.com,2022-11-26,False,2023-04-28
235,Dana Jackson,dana.jackson235@mail.com,2022-10-03,False,2021-07-14
236,Chris Hernandez,chris.hernandez236@payguard.com,2024-11-07,False,2021-11-09
237,Jamie Garcia,jamie.garcia237@example.com,2023-06-04,True,2021-07-10
238,Cameron Martinez,cameron.martinez238@mail.com,2024-04-16,False,2021-05-03
239,Taylor Jackson,taylor.jackson239@payguard.com,2025-03-17,False,2024-09-24
240,Sam Gonzalez,sam.gonzalez240@mail.com,2022-12-22,True,2022-10-02
241,Sasha Clark,sasha.clark241@example.com,2024-09-06,False,2021-11-13
242,Avery Brown,avery.brown242@payguard.com,2023-01-23,True,2024-02-14
243,Morgan Lee,morgan.lee243@example.com,2024-02-23,True,2023-05-29
244,Shawn Hernandez,shawn.hernandez244@example.com,2022-07-14,False,2022-01-05
245,Chris Anderson,chris.anderson245@example.com,2021-10-21,False,2022-01-07
246,Jamie Martinez,jamie.martinez246@mail.com,2021-03-04,True,2024-07-20
247,Kai Rodriguez,kai.rodriguez247@payguard.com,2023-07-19,False,2023-05-10
248,Casey Anderson,casey.anderson248@payguard.com,2022-10-27,True,2025-01-17
249,Sam Martinez,sam.martinez249@example.com,2024-06-19,True,2025-03-26
250,Jamie Hernandez,jamie.hernandez250@payguard.com,2023-05-19,False,2024-09-17
